deflection,time
29.4,1606108467.993284
29.1,1606108468.211284
29.4,1606108468.431284
29.5,1606108470.005284
29.4,1606108470.225284
29.5,1606108470.667284
29.4,1606108470.888284
29.3,1606108471.328284
29.5,1606108471.549284
29.4,1606108472.021284
29.5,1606108474.479284
29.3,1606108474.920284
29.5,1606108475.582284
29.4,1606108476.054284
29.5,1606108476.717284
29.4,1606108477.600284
29.5,1606108479.178284
29.4,1606108480.103284
29.5,1606108480.544284
29.4,1606108480.765284
29.5,1606108480.986284
29.4,1606108481.207284
29.5,1606108481.426284
29.4,1606108482.781284
29.2,1606108483.223284
29.4,1606108483.445284
29.3,1606108483.916284
29.5,1606108484.138284
29.3,1606108484.357284
29.4,1606108484.578284
29.5,1606108484.799284
29.3,1606108485.239284
29.5,1606108486.207284
29.3,1606108486.647284
29.4,1606108486.868284
29.3,1606108490.680284
29.4,1606108491.563284
29.6,1606108491.784284
29.5,1606108492.476284
29.3,1606108492.696284
29.4,1606108493.137284
29.3,1606108493.799284
29.5,1606108494.050284
29.4,1606108495.595284
29.5,1606108495.815284
29.4,1606108496.067284
29.5,1606108496.288284
29.4,1606108496.510284
29.2,1606108496.952284
29.4,1606108497.393284
29.5,1606108497.613284
29.3,1606108498.224284
29.4,1606108498.665284
29.6,1606108499.767284
29.3,1606108499.988284
29.6,1606108500.899284
29.4,1606108501.119284
29.2,1606108501.341284
29.4,1606108501.561284
29.6,1606108502.003284
29.5,1606108502.254284
29.3,1606108503.137284
29.4,1606108503.798284
29.6,1606108504.268284
29.4,1606108504.487284
29.6,1606108505.371284
29.4,1606108505.592284
29.5,1606108506.034284
29.4,1606108506.725284
29.5,1606108507.170284
29.4,1606108507.834284
29.5,1606108508.586284
29.4,1606108509.466284
29.5,1606108509.686284
29.4,1606108509.906284
29.3,1606108510.128284
29.4,1606108510.378284
29.6,1606108510.820284
29.4,1606108511.040284
29.5,1606108511.260284
29.2,1606108511.481284
29.5,1606108511.700284
29.3,1606108512.392284
29.4,1606108513.052284
29.5,1606108513.274284
29.3,1606108513.496284
29.5,1606108513.938284
29.3,1606108514.405284
29.5,1606108514.846284
29.4,1606108515.516284
29.6,1606108515.737284
29.4,1606108515.956284
29.3,1606108517.324284
29.6,1606108517.543284
29.5,1606108517.764284
29.6,1606108518.202284
29.4,1606108518.452284
29.3,1606108519.774284
29.4,1606108519.994284
29.3,1606108520.906284
29.5,1606108521.348284
29.4,1606108521.568284
29.5,1606108521.790284
29.3,1606108522.231284
29.4,1606108523.584284
29.6,1606108523.803284
29.3,1606108524.245284
29.5,1606108524.496284
29.3,1606108524.716284
29.5,1606108525.378284
29.3,1606108526.040284
29.5,1606108527.454284
29.2,1606108527.675284
29.4,1606108528.116284
29.6,1606108529.531284
29.4,1606108529.752284
29.5,1606108530.412284
29.4,1606108530.883284
29.5,1606108531.105284
29.3,1606108531.987284
29.5,1606108532.681284
29.3,1606108532.902284
29.5,1606108533.124284
29.4,1606108533.783284
29.6,1606108534.700284
29.2,1606108534.920284
29.4,1606108535.140284
29.3,1606108535.582284
29.4,1606108536.242284
29.6,1606108537.086284
29.4,1606108537.305284
29.3,1606108538.192284
29.5,1606108538.411284
29.3,1606108538.631284
29.4,1606108538.884284
29.5,1606108539.325284
29.4,1606108539.545284
29.3,1606108542.018284
29.4,1606108542.677284
29.4,1606108542.677284
29.4,1606108542.677284
29.4,1606108542.677284
29.3,1606108543.649284
29.5,1606108549.359284
29.3,1606108550.460284
29.5,1606108550.680284
29.3,1606108550.901284
29.4,1606108551.371284
29.3,1606108551.592284
29.5,1606108551.813284
29.4,1606108553.610284
29.2,1606108553.827284
29.5,1606108554.048284
29.3,1606108554.269284
29.1,1606108555.183284
29.5,1606108555.403284
29.6,1606108555.624284
29.5,1606108555.845284
29.3,1606108556.066284
29.5,1606108556.286284
29.4,1606108556.507284
29.6,1606108558.524284
29.4,1606108558.743284
29.6,1606108560.098284
29.4,1606108560.317284
29.6,1606108562.113284
29.4,1606108562.555284
29.3,1606108562.775284
29.4,1606108562.995284
29.6,1606108564.129284
29.4,1606108564.349284
29.2,1606108565.484284
29.4,1606108565.705284
29.3,1606108565.926284
29.5,1606108566.147284
29.3,1606108566.586284
29.5,1606108567.278284
29.3,1606108568.160284
29.5,1606108568.603284
29.4,1606108568.822284
29.5,1606108569.735284
29.3,1606108570.398284
29.5,1606108571.061284
29.4,1606108571.753284
29.6,1606108572.196284
29.4,1606108572.416284
29.2,1606108573.329284
29.3,1606108573.550284
29.5,1606108573.771284
29.3,1606108574.651284
29.5,1606108574.872284
29.2,1606108575.562284
29.4,1606108575.781284
29.5,1606108578.947284
29.3,1606108579.417284
29.5,1606108579.859284
29.3,1606108580.300284
29.4,1606108580.742284
29.5,1606108580.962284
29.4,1606108581.433284
29.6,1606108582.318284
29.4,1606108582.980284
29.6,1606108584.348284
29.4,1606108584.569284
29.5,1606108585.701284
29.4,1606108585.922284
29.2,1606108586.365284
29.5,1606108587.028284
29.3,1606108588.219284
29.4,1606108588.882284
29.3,1606108589.103284
29.4,1606108589.575284
29.5,1606108590.016284
29.3,1606108590.237284
29.5,1606108590.458284
29.4,1606108590.680284
29.2,1606108593.251284
29.4,1606108593.472284
29.5,1606108595.272284
29.4,1606108595.494284
29.6,1606108595.744284
29.3,1606108595.964284
29.5,1606108596.405284
29.3,1606108596.847284
29.4,1606108597.068284
29.3,1606108597.289284
29.5,1606108597.514284
29.4,1606108598.204284
29.3,1606108598.425284
29.4,1606108598.645284
29.3,1606108598.868284
29.5,1606108599.088284
29.4,1606108599.531284
29.5,1606108599.782284
29.3,1606108600.223284
29.5,1606108600.664284
29.1,1606108601.800284
29.6,1606108602.021284
29.2,1606108602.242284
29.4,1606108602.464284
29.1,1606108602.905284
29.4,1606108603.126284
29.2,1606108603.347284
29.4,1606108603.570284
29.3,1606108604.262284
29.4,1606108604.483284
29.3,1606108604.925284
29.5,1606108605.368284
29.2,1606108606.280284
29.3,1606108606.501284
29.1,1606108606.942284
29.3,1606108607.163284
29.4,1606108607.383284
29.3,1606108607.853284
29.4,1606108608.293284
29.2,1606108608.732284
29.4,1606108608.953284
29.2,1606108609.173284
29.4,1606108609.395284
29.3,1606108609.617284
29.5,1606108609.870284
29.4,1606108611.417284
29.5,1606108611.637284
29.3,1606108612.119284
29.5,1606108612.340284
29.3,1606108613.005284
29.5,1606108613.223284
29.3,1606108613.961284
29.2,1606108614.842284
29.4,1606108615.063284
29.3,1606108617.080284
29.5,1606108617.743284
29.3,1606108618.876284
29.4,1606108619.097284
29.3,1606108620.447284
29.4,1606108620.889284
29.5,1606108622.464284
29.4,1606108622.683284
29.3,1606108623.345284
29.5,1606108623.565284
29.4,1606108623.787284
29.5,1606108624.038284
29.3,1606108624.258284
29.5,1606108624.480284
29.3,1606108624.923284
29.5,1606108625.145284
29.4,1606108627.160284
29.6,1606108628.072284
29.4,1606108628.293284
29.5,1606108628.514284
29.3,1606108629.619284
29.5,1606108631.196284
29.1,1606108631.860284
29.4,1606108632.437284
29.3,1606108633.981284
29.4,1606108634.230284
29.6,1606108636.792284
29.4,1606108637.455284
29.5,1606108637.674284
29.4,1606108637.894284
29.5,1606108639.468284
29.2,1606108639.910284
29.3,1606108640.131284
29.5,1606108641.044284
29.4,1606108641.926284
29.5,1606108642.617284
29.3,1606108642.839284
29.5,1606108643.500284
29.2,1606108643.721284
29.4,1606108643.942284
29.3,1606108645.073284
29.6,1606108645.294284
29.4,1606108645.514284
29.2,1606108645.955284
29.4,1606108646.177284
29.5,1606108646.428284
29.4,1606108646.649284
29.2,1606108646.869284
29.5,1606108647.090284
29.4,1606108647.532284
29.3,1606108648.196284
29.4,1606108648.447284
29.5,1606108649.997284
29.4,1606108650.218284
29.2,1606108650.781284
29.5,1606108651.002284
29.4,1606108651.223284
29.3,1606108652.797284
29.5,1606108653.018284
29.4,1606108653.461284
29.5,1606108655.262284
29.4,1606108655.704284
29.5,1606108655.926284
29.4,1606108656.147284
29.5,1606108656.369284
29.3,1606108656.620284
29.5,1606108657.062284
29.3,1606108657.725284
29.6,1606108658.166284
29.4,1606108658.386284
29.3,1606108659.077284
29.5,1606108659.519284
29.4,1606108659.740284
29.5,1606108660.401284
29.3,1606108661.313284
29.4,1606108661.975284
29.3,1606108662.994284
29.5,1606108663.214284
29.3,1606108663.655284
29.5,1606108664.538284
29.3,1606108665.008284
29.4,1606108665.230284
29.3,1606108665.451284
29.5,1606108666.115284
29.4,1606108666.336284
29.3,1606108666.557284
29.5,1606108667.027284
29.4,1606108667.690284
29.3,1606108668.823284
29.4,1606108669.043284
29.2,1606108669.264284
29.5,1606108669.484284
29.3,1606108669.705284
29.4,1606108670.147284
29.2,1606108670.590284
29.4,1606108671.341284
29.1,1606108672.003284
29.5,1606108672.223284
29.4,1606108672.665284
29.5,1606108673.800284
29.2,1606108674.462284
29.4,1606108674.934284
29.6,1606108676.955284
29.4,1606108677.175284
29.3,1606108677.396284
29.5,1606108677.839284
29.3,1606108678.973284
29.5,1606108679.194284
29.4,1606108679.637284
29.5,1606108680.521284
29.3,1606108681.319284
29.5,1606108681.539284
29.4,1606108681.978284
29.5,1606108682.860284
29.4,1606108683.112284
29.5,1606108683.331284
29.4,1606108684.216284
29.5,1606108684.437284
29.3,1606108684.658284
29.4,1606108686.235284
29.3,1606108687.148284
29.4,1606108687.590284
29.6,1606108687.810284
29.5,1606108688.032284
29.4,1606108688.472284
29.2,1606108688.692284
29.4,1606108688.913284
29.3,1606108689.383284
29.4,1606108689.604284
29.3,1606108690.709284
29.5,1606108691.459284
29.2,1606108691.900284
29.3,1606108692.120284
29.4,1606108692.562284
29.3,1606108692.783284
29.4,1606108693.255284
29.6,1606108694.360284
29.4,1606108694.581284
29.3,1606108695.273284
29.4,1606108695.494284
29.2,1606108696.379284
29.4,1606108696.599284
29.2,1606108696.820284
29.4,1606108697.041284
29.5,1606108697.339284
29.3,1606108697.779284
29.5,1606108698.661284
29.2,1606108699.103284
29.4,1606108700.017284
29.5,1606108700.459284
29.2,1606108700.680284
29.4,1606108700.900284
29.5,1606108701.696284
29.3,1606108701.916284
29.6,1606108702.136284
29.4,1606108702.576284
29.3,1606108704.160284
29.5,1606108704.381284
29.4,1606108704.823284
29.5,1606108706.179284
29.4,1606108706.400284
29.5,1606108707.535284
29.4,1606108707.755284
29.5,1606108707.976284
29.4,1606108708.197284
29.6,1606108708.637284
29.4,1606108708.859284
29.3,1606108710.435284
29.4,1606108710.656284
29.3,1606108711.791284
29.5,1606108712.012284
29.3,1606108712.452284
29.5,1606108712.894284
29.4,1606108713.115284
29.5,1606108713.586284
29.3,1606108714.909284
29.4,1606108715.130284
29.2,1606108716.928284
29.4,1606108717.150284
29.6,1606108718.564284
29.5,1606108719.004284
29.3,1606108719.225284
29.4,1606108719.916284
29.5,1606108721.239284
29.2,1606108721.931284
29.4,1606108722.151284
29.6,1606108722.374284
29.4,1606108722.594284
29.5,1606108723.480284
29.4,1606108723.730284
29.5,1606108723.950284
29.3,1606108724.171284
29.5,1606108724.392284
29.2,1606108725.275284
29.6,1606108725.496284
29.4,1606108725.969284
29.5,1606108727.073284
29.3,1606108727.515284
29.5,1606108728.086284
29.2,1606108728.528284
29.4,1606108728.969284
29.2,1606108732.119284
29.6,1606108732.339284
29.4,1606108732.779284
29.6,1606108734.131284
29.4,1606108734.793284
29.3,1606108735.676284
29.4,1606108736.147284
29.5,1606108736.587284
29.4,1606108737.028284
29.1,1606108737.686284
29.5,1606108737.937284
29.3,1606108738.157284
29.5,1606108738.600284
29.3,1606108739.954284
29.5,1606108740.173284
29.1,1606108741.720284
29.3,1606108743.121284
29.5,1606108743.342284
29.4,1606108744.032284
29.6,1606108745.358284
29.5,1606108745.578284
29.3,1606108748.377284
29.5,1606108749.037284
29.3,1606108749.697284
29.5,1606108749.918284
29.2,1606108750.388284
29.5,1606108750.610284
29.4,1606108751.714284
29.5,1606108751.935284
29.3,1606108752.186284
29.4,1606108753.285284
29.2,1606108755.756284
29.5,1606108755.976284
29.3,1606108756.669284
29.4,1606108756.890284
29.5,1606108758.243284
29.3,1606108758.684284
29.5,1606108759.126284
29.3,1606108759.348284
29.4,1606108760.264284
29.5,1606108760.706284
29.3,1606108760.927284
29.5,1606108761.148284
29.3,1606108761.369284
29.6,1606108761.590284
29.3,1606108761.811284
29.5,1606108762.517284
29.4,1606108762.738284
