sensors,temperature,humidity,count,time
"-273,-273,-273,-273,25.2,23.7,22.8,22.2",21,32,0,1606108482.967168
"-273,-273,-273,-273,25.2,23.7,22.8,22.2",21,33,0,1606108501.527142
"-273,-273,-273,-273,25.2,23.7,22.8,22.2",21,32,0,1606108520.087707
"-273,-273,-273,-273,25.2,23.7,22.8,22.2",0,32,0,1606108538.657049
"-273,-273,-273,-273,25.3,23.7,22.8,22.2",21,32,0,1606108557.287375
"-273,-273,-273,-273,25.3,23.7,22.8,22.2",21,32,0,1606108575.847204
"-273,-273,-273,-273,25.3,23.7,22.8,22.2",21,32,0,1606108594.407278
"-273,-273,-273,-273,25.4,23.8,22.8,22.2",0,32,0,1606108612.967139
"-273,-273,-273,-273,25.4,23.8,22.7,22.2",21,32,0,1606108631.607028
"-273,-273,-273,-273,25.4,23.8,22.7,22.2",21,32,0,1606108650.167344
"-273,-273,-273,-273,25.4,23.8,22.7,22.2",21,32,0,1606108668.727151
"-273,-273,-273,-273,25.4,23.7,22.7,22.1",21,32,0,1606108687.287204
"-273,-273,-273,-273,25.4,23.8,22.7,22.1",21,32,0,1606108705.847227
"-273,-273,-273,-273,25.4,23.8,22.7,22.1",21,32,0,1606108724.407175
"-273,-273,-273,-273,25.4,23.7,22.6,22.1",0,32,0,1606108742.967048
"-273,-273,-273,-273,25.4,23.7,22.6,22.1",0,32,0,1606108742.967048
"-273,-273,-273,-273,25.4,23.7,22.6,22.1",0,32,0,1606108742.967048
"-273,-273,-273,-273,25.4,23.8,22.6,22.1",21,32,0,1606108761.527039
"-273,-273,-273,-273,25.4,23.7,22.6,22.1",21,32,0,1606108780.087887
"-273,-273,-273,-273,25.4,23.7,22.6,22.1",21,32,0,1606108798.647121
"-273,-273,-273,-273,25.4,23.7,22.6,22.1",0,32,0,1606108817.207149
"-273,-273,-273,-273,25.5,23.7,22.6,22.1",21,32,0,1606108835.767139
"-273,-273,-273,-273,25.5,23.7,22.6,22.1",21,32,0,1606108854.326783
"-273,-273,-273,-273,25.4,23.8,22.6,21.9",0,32,0,1606109147.455705
"-273,-273,-273,-273,25.4,23.8,22.6,21.9",21,32,0,1606109166.095646
"-273,-273,-273,-273,25.4,23.7,22.6,21.9",21,32,0,1606150003.025158
"-273,-273,-273,-273,25.4,23.7,22.6,21.9",21,32,0,1606150021.665351
"-273,-273,-273,-273,25.4,23.7,22.6,21.9",21,32,0,1606150040.225353
"-273,-273,-273,-273,25.4,23.7,22.6,21.9",21,32,0,1606150059.025434
"-273,-273,-273,-273,25.3,23.7,22.6,21.9",0,32,0,1606150077.745389
"-273,-273,-273,-273,25.3,23.6,22.6,21.9",0,32,0,1606150096.305422
"-273,-273,-273,-273,25.3,23.7,22.6,21.9",21,32,0,1606150114.86536
"-273,-273,-273,-273,25.2,23.6,22.6,21.9",21,32,0,1606150133.425354
"-273,-273,-273,-273,25.2,23.6,22.6,21.9",21,32,0,1606150151.985357
"-273,-273,-273,-273,25.2,23.6,22.6,21.9",0,32,0,1606150170.545366
"-273,-273,-273,-273,25.2,23.6,22.6,21.9",21,32,0,1606150189.105346
"-273,-273,-273,-273,25.2,23.6,22.6,21.9",21,32,0,1606150207.665357
"-273,-273,-273,-273,25.2,23.6,22.6,21.9",21,32,0,1606150226.225428
"-273,-273,-273,-273,25.2,23.6,22.6,21.9",21,32,0,1606150244.785372
"-273,-273,-273,-273,25.2,23.6,22.6,21.9",21,32,0,1606150263.386234
"-273,-273,-273,-273,25.2,23.6,22.6,21.9",0,32,0,1606150281.905485
"-273,-273,-273,-273,25.2,23.6,22.6,21.9",21,32,0,1606150300.465342
"-273,-273,-273,-273,25.2,23.6,22.6,21.8",21,32,0,1606150319.025432
"-273,-273,-273,-273,25.1,23.6,22.6,21.8",21,32,0,1606150337.585342
"-273,-273,-273,-273,25.1,23.5,22.6,21.8",21,32,0,1606150356.145406
"-273,-273,-273,-273,25.1,23.5,22.6,21.8",21,32,0,1606150374.70541
"-273,-273,-273,-273,25.1,23.5,22.6,21.8",21,32,0,1606150393.265369
"-273,-273,-273,-273,25.1,23.5,22.6,21.8",21,32,0,1606150411.82536
"-273,-273,-273,-273,25.1,23.5,22.6,21.8",21,32,0,1606150430.385359
"-273,-273,-273,-273,25.1,23.5,22.6,21.8",21,32,0,1606150448.94542
"-273,-273,-273,-273,25.1,23.4,22.6,21.8",21,32,0,1606150467.505494
"-273,-273,-273,-273,25.1,23.4,22.5,21.8",21,32,0,1606150486.065337
"-273,-273,-273,-273,25.1,23.4,22.6,21.8",21,32,0,1606150504.625343
"-273,-273,-273,-273,25.1,23.4,22.6,21.8",21,32,0,1606150523.185436
