name,time,filled,hum,location,mag,pressure,temp,x_axis,y_axis,z_axis
unit_3,1573498521160236000,6,40,car,,1.53,21,,,
unit_3,1573498531183144000,6,42,car,,1.61,21,,,
unit_3,1573498541206360000,6,41,car,,1.61,21,,,
unit_3,1573498551228768000,6,41,car,,1.61,21,,,
unit_3,1573498561251884000,6,41,car,,1.61,21,,,
unit_3,1573498571275964000,6,40,car,,1.53,21,,,
unit_3,1573498581299780000,6,40,car,,1.61,21,,,
unit_3,1573498591322860000,6,41,car,,1.53,22,,,
unit_3,1573498601346712000,6,40,car,,1.61,21,,,
unit_3,1573498611369804000,6,41,car,,1.61,22,,,
unit_3,1573498621392576000,6,41,car,,1.45,22,,,
unit_3,1573498631415184000,6,41,car,,1.53,22,,,
unit_3,1573498641435856000,6,41,car,,1.45,22,,,
unit_3,1573498651456776000,6,41,car,,1.61,22,,,
unit_3,1573498661479800000,6,41,car,,1.61,22,,,
unit_3,1573498671502720000,6,41,car,,1.61,22,,,
unit_3,1573498681525768000,6,41,car,,1.61,22,,,
unit_3,1573498691548360000,6,42,car,,1.61,22,,,
unit_3,1573498701571648000,6,43,car,,1.61,22,,,
unit_3,1573498711594808000,6,43,car,,1.61,22,,,
unit_3,1573498721617252000,6,43,car,,1.61,22,,,
unit_3,1573498731639268000,6,43,car,,1.53,22,,,
unit_3,1573498741660932000,6,42,car,,1.52,22,,,
unit_3,1573498751682272000,6,42,car,,1.6,22,,,
unit_3,1573498761706120000,6,41,car,,1.51,22,,,
unit_3,1573498771730140000,6,41,car,,1.59,22,,,
unit_3,1573498781753720000,6,40,car,,1.59,22,,,
unit_3,1573498791776832000,6,40,car,,1.43,22,,,
unit_3,1573498801799464000,6,40,car,,1.6,22,,,
unit_3,1573498811821884000,6,39,car,,1.52,22,,,
unit_3,1573498821845504000,6,39,car,,1.6,22,,,
unit_3,1573507204899536000,6,39,car,,108.050003,22,,,
unit_3,1573507214921644000,6,39,car,,108.669998,22,,,
unit_3,1573507224944084000,6,39,car,,108.68,22,,,
unit_3,1573507234966336000,6,39,car,,108.059998,22,,,
unit_3,1573507244989284000,6,39,car,,108.68,22,,,
unit_3,1573507255012156000,6,39,car,,108.07,22,,,
unit_3,1573507265035916000,6,39,car,,74.599998,23,,,
unit_3,1573507275060000000,6,39,car,,19.9,23,,,
unit_3,1573507285083888000,6,39,car,,1.6,23,,,
unit_3,1573507295107724000,6,39,car,,1.51,23,,,
unit_3,1573507305130768000,6,39,car,,1.6,23,,,
unit_3,1573507315152472000,6,39,car,,33.02,23,,,
unit_3,1573507325177900000,7,39,car,,107.849998,23,,,
unit_3,1573507335200512000,7,39,car,,108.470001,22,,,
unit_3,1573507345223584000,7,39,car,,107.860001,23,,,
unit_3,1573507355246036000,7,39,car,,108.480003,23,,,
unit_3,1573507365268036000,7,39,car,,108.489998,23,,,
unit_3,1573507368292352000,,,car,0.66,,,0.08,0.15,0.64
unit_3,1573507368292980000,,,car,0.74,,,0.08,0.15,0.72
unit_3,1573507368293604000,,,car,0.74,,,0.08,0.15,0.72
unit_3,1573507368294228000,,,car,0.74,,,0.08,0.15,0.72
unit_3,1573507368294856000,,,car,0.74,,,0.08,0.15,0.72
unit_3,1573507368295488000,,,car,0.74,,,0.08,0.15,0.72
unit_3,1573507368296116000,,,car,0.74,,,0.08,0.15,0.72
unit_3,1573507368296744000,,,car,0.74,,,0.08,0.15,0.72
unit_3,1573507368297368000,,,car,0.82,,,0.08,0.15,0.8
unit_3,1573507368297988000,,,car,0.85,,,0.16,0.23,0.8
unit_3,1573507368298612000,,,car,0.83,,,0.16,0.15,0.8
unit_3,1573507368299240000,,,car,0.83,,,0.16,0.15,0.8
unit_3,1573507368299860000,,,car,0.85,,,0.16,0.23,0.8
unit_3,1573507368300484000,,,car,0.85,,,0.16,0.23,0.8
unit_3,1573507368301112000,,,car,0.85,,,0.16,0.23,0.8
unit_3,1573507368301732000,,,car,0.85,,,0.16,0.23,0.8
unit_3,1573507368302356000,,,car,0.85,,,0.16,0.23,0.8
unit_3,1573507368302976000,,,car,0.94,,,0.24,0.23,0.88
unit_3,1573507368303596000,,,car,0.92,,,0.16,0.23,0.88
unit_3,1573507368304224000,,,car,0.79,,,0.24,0.23,0.72
unit_3,1573507368304860000,,,car,4.09,,,0.64,0.53,4
unit_3,1573507368308612000,,,car,0.36,,,0.32,0.07,0.16
unit_3,1573507368309256000,,,car,1.4,,,0.32,0,-1.36
unit_3,1573507368309932000,,,car,0.47,,,0.24,0.07,0.4
unit_3,1573507368310604000,,,car,0.76,,,0.24,0.07,0.72
unit_3,1573507368311232000,,,car,1.46,,,0.24,0,-1.44
unit_3,1573507368311908000,,,car,1.23,,,0.24,0.07,-1.2
unit_3,1573507368312548000,,,car,1.54,,,0.24,0,-1.52
unit_3,1573507368313208000,,,car,0.45,,,0.24,0.3,0.24
unit_3,1573507368313864000,,,car,2.71,,,0.64,0.61,2.56
unit_3,1573507368314500000,,,car,3.17,,,0.64,0.61,3.04
unit_3,1573507368315136000,,,car,6.25,,,-2.16,0.53,5.84
unit_3,1573507368315768000,,,car,9.74,,,-4.4,0.92,8.64
unit_3,1573507368316396000,,,car,11.23,,,-1.92,-1.53,10.96
unit_3,1573507368317040000,,,car,5.58,,,0.4,-1.76,5.28
unit_3,1573507368317676000,,,car,1.58,,,-1.28,0.92,0.16
unit_3,1573507368318312000,,,car,3.03,,,-1.2,0.61,2.72
unit_3,1573507368318912000,,,car,5.6,,,0,0.23,5.6
unit_3,1573507368319552000,,,car,2.84,,,-1.04,0.15,2.64
unit_3,1573507368320184000,,,car,0.83,,,0.56,0.46,0.4
unit_3,1573507368321420000,,,car,2.72,,,0.4,0.53,-2.64
unit_3,1573507368322056000,,,car,0.26,,,0.24,0.07,0.08
unit_3,1573507368322692000,,,car,0.41,,,0.08,0.07,0.4
unit_3,1573507368323340000,,,car,3.62,,,0.32,0.23,-3.6
unit_3,1573507368323948000,,,car,2.18,,,0,0.3,-2.16
